observations,auc,accuracy,balanced_accuracy,precision,recall,f1,brier,trade_rate,mean_strategy_return,strategy_sharpe,max_drawdown,accuracy_binom_pvalue_vs_0p50,strategy_mean_ttest_pvalue_gt_0,strategy_mean_permutation_pvalue,confusion_matrix_tn_fp_fn_tp,fold,feature_set,model,feature_count,val_auc,val_accuracy,threshold,youden_j
63,0.5,0.5079365079365079,0.5,0.5079365079365079,1.0,0.6736842105263158,0.49206349206349204,1.0,-0.0057276485718875236,-1.8653938591966532,-0.39532579859051675,0.5,0.8207922025665106,,"[[0, 31], [0, 32]]",6,all_features,majority_class,16,0.5,0.5238095238095238,,
63,0.48185483870967744,0.5079365079365079,0.515625,1.0,0.03125,0.06060606060606061,0.294638508037381,0.015873015873015872,0.0005623452656272841,2.016064515096742,0.0,0.5,0.16059874123158413,,"[[31, 0], [31, 1]]",6,all_features,logistic_regression,16,0.47121212121212125,0.5079365079365079,0.4703451893301436,0.043939393939393584
63,0.5504032258064516,0.5079365079365079,0.514616935483871,0.6,0.09375,0.16216216216216217,0.24766748641281677,0.07936507936507936,-0.0005794007463375412,-0.7180123293062235,-0.0770356781156436,0.5,0.6385296705892765,,"[[29, 2], [29, 3]]",6,all_features,random_forest,16,0.46237373737373744,0.48412698412698413,0.5370205369363678,0.006060606060606141
63,0.46169354838709675,0.5079365079365079,0.515625,1.0,0.03125,0.06060606060606061,,0.015873015873015872,0.0005623452656272841,2.016064515096742,0.0,0.5,0.16059874123158413,,"[[31, 0], [31, 1]]",6,all_features,svm_linear,16,0.4505050505050504,0.49206349206349204,-0.5052885900163946,0.003030303030303494
63,0.5,0.6507936507936508,0.5,0.6507936507936508,1.0,0.7884615384615384,0.3492063492063492,1.0,0.008377058505816463,6.84385158854629,-0.035428046778470335,0.011287486336628592,0.0006015166099718984,,"[[0, 22], [0, 41]]",7,all_features,majority_class,16,0.5,0.5,,
63,0.4589800443458979,0.42857142857142855,0.4661862527716186,0.6086956521739131,0.34146341463414637,0.4375,0.24235848919322017,0.36507936507936506,0.0025440547124327916,3.005550640678628,-0.055901357327998724,0.8963160500715729,0.07054210906488072,,"[[13, 9], [27, 14]]",7,all_features,logistic_regression,16,0.5427059712773998,0.5634920634920635,0.5850058885360899,0.12698412698412498
63,0.4390243902439024,0.4126984126984127,0.3802660753880266,0.5555555555555556,0.4878048780487805,0.5194805194805194,0.2519966947421771,0.5714285714285714,0.0025097947638647,2.833276405706603,-0.043595031930550476,0.9350410384887238,0.08245420475486376,,"[[6, 16], [21, 20]]",7,all_features,random_forest,16,0.5210380448475687,0.5317460317460317,0.5028758660319641,0.06349206349206249
63,0.44124168514412415,0.5238095238095238,0.4866962305986696,0.6410256410256411,0.6097560975609756,0.625,,0.6190476190476191,0.005019562233308792,4.872633175376606,-0.035428046778470446,0.40065324625203314,0.009304489541495932,,"[[8, 14], [16, 25]]",7,all_features,svm_linear,16,0.526329050138574,0.5476190476190477,0.6918430944052493,0.09523809523809379
63,0.5,0.49206349206349204,0.5,0.49206349206349204,1.0,0.6595744680851063,0.5079365079365079,1.0,0.0005856144980562684,0.502964343037946,-0.08982847017984996,0.5993467537479669,0.4019077609573928,,"[[0, 32], [0, 31]]",8,all_features,majority_class,16,0.5,0.5793650793650794,,
63,0.5756048387096774,0.5238095238095238,0.53125,0.5081967213114754,1.0,0.6739130434782609,0.24988652067458028,0.9682539682539683,0.0010860648004532522,0.9522662989296055,-0.08982847017984996,0.40065324625203314,0.3191715415827324,,"[[2, 30], [0, 31]]",8,all_features,logistic_regression,16,0.514086327216335,0.5634920634920635,0.44951636674320294,0.09666580511760303
63,0.5877016129032258,0.5079365079365079,0.515625,0.5,1.0,0.6666666666666666,0.24690292109163198,0.9841269841269841,0.0010372181210756457,0.909085122819374,-0.08982847017984996,0.5,0.32680993756417875,,"[[1, 31], [0, 31]]",8,all_features,random_forest,16,0.48177823727061253,0.5873015873015873,0.4592940466091926,0.04988369087619926
63,0.5544354838709677,0.5079365079365079,0.515625,0.5,1.0,0.6666666666666666,,0.9841269841269841,0.0010372181210756457,0.909085122819374,-0.08982847017984996,0.5,0.32680993756417875,,"[[1, 31], [0, 31]]",8,all_features,svm_linear,16,0.5241664512794003,0.5793650793650794,-0.5012890505227419,0.12923235978289072
63,0.5,0.5238095238095238,0.5,0.5238095238095238,1.0,0.6875,0.47619047619047616,1.0,0.0009326428598708734,0.6835767404528441,-0.18114997385930043,0.40065324625203314,0.36785329280512696,,"[[0, 30], [0, 33]]",9,all_features,majority_class,16,0.5,0.5714285714285714,,
63,0.4171717171717172,0.3968253968253968,0.40606060606060607,0.3684210526315789,0.21212121212121213,0.2692307692307692,0.2591167737574162,0.30158730158730157,-0.0021605473997035763,-2.739473784313523,-0.16343678051000488,0.9615370831951954,0.9104370722657338,,"[[18, 12], [26, 7]]",9,all_features,logistic_regression,16,0.5154320987654321,0.5238095238095238,0.5247068184447009,0.09259259259259273
63,0.45858585858585854,0.5396825396825397,0.5166666666666667,0.532258064516129,1.0,0.6947368421052632,0.2526099382681015,0.9841269841269841,0.0014028509513013545,1.0450896629553639,-0.15615258939412935,0.3073275078827309,0.3030187924036256,,"[[1, 29], [0, 33]]",9,all_features,random_forest,16,0.4920267489711935,0.6111111111111112,0.44879897748383796,0.0972222222222251
63,0.4050505050505051,0.4126984126984127,0.41666666666666663,0.4230769230769231,0.3333333333333333,0.3728813559322034,,0.4126984126984127,-0.0017335461390094854,-1.7623432752441637,-0.14315831861107264,0.9350410384887238,0.8072950197492381,,"[[15, 15], [22, 11]]",9,all_features,svm_linear,16,0.5110596707818931,0.5476190476190477,0.1460422942031802,0.09722222222222299
63,0.5,0.6190476190476191,0.5,0.6190476190476191,1.0,0.7647058823529411,0.38095238095238093,1.0,0.004805644556644884,3.569800113253348,-0.09919079603510961,0.038462916804804625,0.040765007824152294,,"[[0, 24], [0, 39]]",1,market_only,majority_class,7,0.5,0.5317460317460317,,
63,0.5598290598290598,0.5555555555555556,0.5208333333333333,0.6341463414634146,0.6666666666666666,0.65,0.23745628600892232,0.6507936507936508,0.003569866607109865,3.2420106277675447,-0.05787362640910054,0.22498126814511127,0.05644836881978968,,"[[9, 15], [13, 26]]",1,market_only,logistic_regression,7,0.5509739438401214,0.5555555555555556,0.5425408793031916,0.1054895016443203
63,0.4818376068376069,0.4126984126984127,0.4855769230769231,0.5833333333333334,0.1794871794871795,0.27450980392156865,0.24288507682283048,0.19047619047619047,0.0005388901479080414,1.2376297159587224,-0.033474400293412754,0.9350410384887238,0.27076898088681234,,"[[19, 5], [32, 7]]",1,market_only,random_forest,7,0.5464204401720213,0.5238095238095238,0.591207511295274,0.09840627371616359
63,0.5566239316239316,0.5238095238095238,0.4551282051282051,0.5918367346938775,0.7435897435897436,0.6590909090909091,,0.7777777777777778,0.00412707458557052,3.501779671761751,-0.08481313065654228,0.40065324625203314,0.04368209831313736,,"[[4, 20], [10, 29]]",1,market_only,svm_linear,7,0.5514798886921325,0.5714285714285714,0.6276466830073938,0.13736402732102093
63,0.5,0.5555555555555556,0.5,0.5555555555555556,1.0,0.7142857142857143,0.4444444444444444,1.0,0.003929416372901363,1.844345570408782,-0.20664633965556123,0.22498126814511127,0.18191398925795488,,"[[0, 28], [0, 35]]",2,market_only,majority_class,7,0.5,0.5714285714285714,,
63,0.4704081632653061,0.42857142857142855,0.4714285714285714,0.42857142857142855,0.08571428571428572,0.14285714285714285,0.25537265875235265,0.1111111111111111,-0.0019037897214592525,-1.9430921727464519,-0.14979408876254163,0.8963160500715729,0.8305559203979427,,"[[24, 4], [32, 3]]",2,market_only,logistic_regression,7,0.5393518518518519,0.5476190476190477,0.5520981371746183,0.11111111111111144
63,0.4775510204081632,0.5396825396825397,0.5535714285714286,0.625,0.42857142857142855,0.5084745762711864,0.2545249412026416,0.38095238095238093,0.0006641213382578192,0.5124226444031986,-0.14346550999632757,0.3073275078827309,0.4001027415368221,,"[[19, 9], [20, 15]]",2,market_only,random_forest,7,0.51440329218107,0.5793650793650794,0.5536430292732333,0.14814814814814836
63,0.4816326530612245,0.5079365079365079,0.49642857142857144,0.5526315789473685,0.6,0.5753424657534246,,0.6031746031746031,0.002732763364115998,1.4776967287541416,-0.16527818962597274,0.5,0.23317222274204313,,"[[11, 17], [14, 21]]",2,market_only,svm_linear,7,0.5537551440329218,0.6111111111111112,0.3294249758655741,0.125000000000002
63,0.5,0.5714285714285714,0.5,0.5714285714285714,1.0,0.7272727272727273,0.42857142857142855,1.0,0.007664757037705248,3.7500749408227345,-0.14136135175849895,0.15675152664822642,0.03380841968032323,,"[[0, 27], [0, 36]]",3,market_only,majority_class,7,0.5,0.5873015873015873,,
63,0.6512345679012346,0.4603174603174603,0.5185185185185185,0.6666666666666666,0.1111111111111111,0.19047619047619047,0.24681124538373986,0.09523809523809523,0.0015431721782120905,2.1194493581101397,-0.032959843347306284,0.7750187318548887,0.14860505209444907,,"[[25, 2], [32, 4]]",3,market_only,logistic_regression,7,0.5132536382536383,0.5555555555555556,0.516871401772944,0.07744282744282971
63,0.5504115226337448,0.5079365079365079,0.5555555555555556,0.7272727272727273,0.2222222222222222,0.3404255319148936,0.24596523537263176,0.1746031746031746,0.003907527294419246,3.863731764061017,-0.03295984334730617,0.5,0.029958698909483262,,"[[24, 3], [28, 8]]",3,market_only,random_forest,7,0.5132536382536382,0.5634920634920635,0.5532862860413239,0.1309771309771317
63,0.6450617283950617,0.5873015873015873,0.625,0.8125,0.3611111111111111,0.5,,0.25396825396825395,0.006526708293047081,5.380444186242206,-0.032959843347306284,0.10368394992842711,0.004851804897579837,,"[[24, 3], [23, 13]]",3,market_only,svm_linear,7,0.5194906444906445,0.5952380952380952,0.2488442369110228,0.08783783783784105
63,0.5,0.5555555555555556,0.5,0.5555555555555556,1.0,0.7142857142857143,0.4444444444444444,1.0,0.0017586526055858689,0.7170114601070471,-0.21797294465930495,0.22498126814511127,0.3616553040728968,,"[[0, 28], [0, 35]]",4,market_only,majority_class,7,0.5,0.5634920634920635,,
63,0.4244897959183674,0.3492063492063492,0.39285714285714285,0.0,0.0,0.0,0.2687719988483625,0.09523809523809523,-0.0034067307567090363,-3.903637867417566,-0.19277770056290255,0.9944292962923474,0.9713015951842144,,"[[22, 6], [35, 0]]",4,market_only,logistic_regression,7,0.5218950064020487,0.5317460317460317,0.4980518250780173,0.10345710627400745
